,,,,,,,,,,,,Toll Collection,,Electronic Toll,,,Miles,,,,,Maximum,Minimum,Average,,,Average,,,
,,HPMS,Financing or,,Body of,,Length 1/,,Functional,,,One-Way,Both,Collection System?  3/,,,Outside,Non-Toll,,Federal,,Passenger,Passenger,Passenger Vehicle,Maximum,Minimum,Truck Cost,,,
State,Name of Facility,Toll ID,Operating Authority,From,Water Crossing,To,Miles,Kilometers,Class 2/,Rural/Urban,NHS,"(N,S,E,W)",Ways,No,Yes/Kind,Bridge/Tunnel,U.S.,Miles,Remarks,Authority Source,Fee Type,Vehicle Fee,Vehicle Fee,Cost per Vehicle-Mile,Truck Fee,Truck Fee,per Vehicle-Mile,,,
Alabama,Alabama River Parkway,1,"Alinda Roads, LLC",North Bypass in Montgomery,Alabama River,SR 143 in Elmore County,1.72,2.77,Minor Arterial,Urban,,,X,,Infrared Laser & Electronic ID Card,Bridge,,5.20,Private - Trucks $+0.50 per axle,None (not a Federal-aid toll facility),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$2.00,$1.50,$0.25,$5.00,$3.00,$0.58,,,
Alabama,Black Warrior Parkway,2,"Alinda Roads, LLC",US - 82 in Northport,Black Warrior River,I - 59 Tuscaloosa,4.25,6.84,Minor Arterial,Urban,,,X,,Infrared Laser & Electronic ID Card,Bridge,,2.23,Private - Trucks $+0.50 per axle,None (not a Federal-aid toll facility),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$2.00,$1.50,$0.27,$5.00,$3.00,$0.62,,,
Alabama,Emerald Mountain Expressway,3,"Alinda Roads, LLC","Wares Ferry Rd, Montgomery County",Tallapoosa River,"Rifle Range Road, Elmore County",1.75,2.82,Major Collector,Rural,,,X,,Infrared Laser & Electronic ID Card,Bridge,,0.39,Private - Trucks $+0.50 per axle,None (not a Federal-aid toll facility),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$2.50,$1.75,$0.99,$5.50,$3.50,$2.10,,,
Alaska,Whittier (Anton Anderson Memorial),5,AK DOT,"Portage, AK",Maynard Mt.,"Whittier, AK",2.50,4.02,Minor Arterial,Rural,,E,,X,,Tunnel,,,Shared train and vehicle tunnel.,None (not a Federal-aid toll facility),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$13.00,$8.25,$3.88,$137.00,$99.00,$48.40,,,
California,Antioch (John A. Nedjedly),12,BATA,Contra Costa County,San Joaquin River,Sacramento County,1.40,2.25,Minor Arterial,Rural,X,N,,,FASTRAK/Title 21/Sirit,Bridge,,,"ETC opened Dec., 2000, HOV fare implemented July 2010. Minimum truck fees wil increase on 7/1/2012. ",Section 129 (General Toll Progam),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$5.00,$2.50,$1.74,$35.00,$15.00,$3.48,,,
California 7/,San Mateo-Hayward,13,BATA,"San Mateo, CA",San Francisco Bay,"Hayward, CA",9.90,15.93,Principal Arterial - Other Freeways and Expressways,Urban,X,W,,,FASTRAK/Title 21/Sirit,Bridge,,,"ETC opened Dec., 2000, HOV fare implemented July 2010. Minimum truck fees wil increase on 7/1/2012.",Section 129 (General Toll Progam),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$5.00,$2.50,$0.24,$35.00,$15.00,$0.48,,,
California 7/,Dumbarton,14,BATA,"Palo Alto, CA",San Francisco Bay,"Newark, CA",5.90,9.50,Principal Arterial - Other Freeways and Expressways,Urban,X,W,,,FASTRAK/Title 21/Sirit,Bridge,,,"ETC opened Dec., 2000, HOV fare implemented July 2010. Minimum truck fees wil increase on 7/1/2012.",Section 129 (General Toll Progam),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$5.00,$2.50,$0.41,$35.00,$15.00,$0.78,,,
California 7/,Golden Gate,15,"Golden Gate Brdg, Hwy & Trans Dist","San Francisco, CA",San Francisco Bay,"Marin Cnty, CA",2.30,3.70,Principal Arterial - Other Freeways and Expressways,Urban,X,S,,,AMTECH Radio Frequency ID,Bridge,,,"ETC began operations in July, 2000. Pay-by-plate implemented March 2013 .",Section 129 (General Toll Progam),Fixed: Rate does not vary by time of day or traffic conditions (May vary by vehicle/weight class or distance traveled).,$7.00,$4.00,$1.88,$49.00,$18.00,`,,,
